Time,Direction,Entry Price,Exit Price,Price Difference,Result,Balance
2024-11-05 16:09:14.715613,buy,1.08978,1.1006778,0.010897799999999958,win,1000
2024-11-05 16:10:15.203223,sell,1.29847,1.2854853,-0.012984700000000071,loss,1000.18
2024-11-05 16:11:15.687796,sell,2439.26,2414.8674,-24.39260000000013,loss,1000.0799999999999
2024-11-05 16:12:26.160217,sell,1.08946,1.0785654,-0.010894600000000088,loss,999.9799999999999
2024-11-05 16:13:26.637940,sell,1.29831,1.2853269,-0.012983100000000025,loss,999.8799999999999
2024-11-05 16:14:27.170400,sell,2437.73,2413.3527,-24.377300000000105,loss,999.7799999999999
2024-11-05 16:15:37.648086,sell,1.08961,1.0787139,-0.010896100000000075,loss,999.6799999999998
2024-11-05 16:15:37.654083,buy,1.29837,1.3113537,0.012983699999999931,win,999.6799999999998
2024-11-05 16:16:38.130378,sell,2436.2,2411.8379999999997,-24.36200000000008,loss,999.8599999999998
2024-11-05 16:17:48.618088,sell,1.08957,1.0786742999999999,-0.010895700000000064,loss,999.7599999999998
2024-11-05 16:18:49.094681,sell,1.29817,1.2851883,-0.012981700000000096,loss,999.6599999999997
2024-11-05 16:18:49.101311,sell,2438.28,2413.8972000000003,-24.38279999999986,loss,999.6599999999997
2024-11-05 16:19:59.585247,sell,1.08957,1.0786742999999999,-0.010895700000000064,loss,999.5599999999997
2024-11-05 16:19:59.593240,sell,1.29809,1.2851091,-0.012980900000000073,loss,999.5599999999997
2024-11-05 16:19:59.598246,sell,2436.04,2411.6796,-24.360400000000027,loss,999.5599999999997
2024-11-05 16:21:10.082642,sell,1.08939,1.0784961000000002,-0.010893899999999901,loss,999.4599999999997
2024-11-05 16:21:10.088644,sell,1.29806,1.2850793999999999,-0.01298060000000012,loss,999.4599999999997
2024-11-05 16:21:10.094602,sell,2434.74,2410.3925999999997,-24.347400000000107,loss,999.4599999999997
2024-11-05 16:22:20.572053,sell,1.08939,1.0784961000000002,-0.010893899999999901,loss,999.3599999999997
2024-11-05 16:22:20.578053,sell,1.29806,1.2850793999999999,-0.01298060000000012,loss,999.3599999999997
2024-11-05 16:22:20.585055,sell,2436.07,2411.7093,-24.36070000000018,loss,999.3599999999997
2024-11-05 16:23:31.065116,sell,1.08941,1.0785159,-0.010894100000000018,loss,999.2599999999996
2024-11-05 16:23:31.071142,buy,1.29832,1.3113032,0.012983200000000084,win,999.2599999999996
2024-11-05 16:24:31.548525,buy,2440.19,2464.5919,24.40189999999984,win,999.4399999999996
2024-11-05 16:25:42.025868,sell,1.08937,1.0784763,-0.010893700000000006,loss,999.6199999999995
2024-11-05 16:26:42.512218,buy,1.2983799999999999,1.3113637999999999,0.01298379999999999,win,999.5199999999995
2024-11-05 16:26:42.518580,buy,2440.45,2464.8545,24.4045000000001,win,999.5199999999995
2024-11-05 16:27:52.993123,sell,1.08948,1.0785852,-0.010894799999999982,loss,999.6999999999995
2024-11-05 16:27:52.999170,buy,1.2984499999999999,1.3114344999999998,0.012984499999999954,win,999.6999999999995
2024-11-05 16:27:53.005125,buy,2440.88,2465.2888000000003,24.408800000000156,win,999.6999999999995
2024-11-05 16:29:03.495091,sell,1.08937,1.0784763,-0.010893700000000006,loss,999.8799999999994
2024-11-05 16:29:03.501133,buy,1.29831,1.3112931,0.012983100000000025,win,999.8799999999994
2024-11-05 16:29:03.507090,buy,2440.65,2465.0565,24.40650000000005,win,999.8799999999994
2024-11-05 16:30:13.982884,sell,1.08927,1.0783772999999999,-0.010892700000000088,loss,1000.0599999999994
2024-11-05 16:30:13.989888,buy,1.29834,1.3113234,0.012983399999999978,win,1000.0599999999994
2024-11-05 16:30:13.994906,buy,2443.65,2468.0865,24.436499999999796,win,1000.0599999999994
2024-11-05 16:31:24.481002,sell,1.08907,1.0781793,-0.010890700000000031,loss,1000.2399999999993
2024-11-05 16:31:24.486602,buy,1.29823,1.3112123,0.012982300000000002,win,1000.2399999999993
2024-11-05 16:31:24.492567,buy,2446.07,2470.5307000000003,24.460700000000088,win,1000.2399999999993
2024-11-05 16:32:34.983460,sell,1.08947,1.0785753,-0.010894699999999924,loss,1000.4199999999993
2024-11-05 16:32:34.989940,buy,1.2986900000000001,1.3116769000000001,0.012986900000000023,win,1000.4199999999993
2024-11-05 16:32:34.996956,buy,2442.48,2466.9048000000003,24.424800000000232,win,1000.4199999999993
